Week 1,Week 2,Week 3, Week 4, Week 5,Week 6,Week 7,Week 8, Week 9, Week 10, Week 11,Week 12
Same (8),MLR 11,Same (8),MLR 11,Gen 7,Recovery 6,Gen 7,VO2 8,Recovery 7 + strides,VO2 8,Gen 8 + strides, Recovery 5
General aerobic 9,General aerobic 8,MLR 12,Gen 10,MLR 12,VO2 10,MLR 13,MLR 11,VO2 10,General aerobic 8,Recovery 4,Dress rehearsal 7
Recovery 5,Recovery 5,Recovery 4,Recovery 5,Recovery 5,MLR 12,Recovery 5,Recovery 6 + strides,MLR 12,Recovery 5 + strides,VO2 8,3 mile contemplating life
MLR 9,LT 8,Gen aerobic 10,LT 10 @5,LT 9,Gen 8,LT 12 w/ 7,Recovery 6,Gen 7,Recovery 5,Recovery 4,Recovery 5 + strides
Recovery 5,Recovery 5,Recovery 4,Recovery 5,Recovery 6,Recovery 6,Recovery 5,Tune-Up 10 miler,Recovery 5,10K tune up + 3mi WU/CD,Recovery 4 + strides,Rest
MP 15 w/ 8 race pace,LR 17,MP 17 w/ 10 race pace,LR 18,LR 17,MP 18 w/ 12 race pace,LR 21,LR 17,LR 22,LR 16,MLR 12,Shakeout 4 miles
Cross,Cross,Cross,Cross,Cross,Cross,Cross,Cross,Cross,Cross,Cross,26.2 miles
51 miles,54 miles,55 miles,59 miles,56 miles,60 miles + 3 somewhere,63 miles,58 miles,63 miles,51 miles,40 miles,50 miles
,,,,,,Training,Training,,,,
3 times strength for <=58,,,,,,,,,,,
2 times strength for 59+ / taper,,,,,,,,,,,
,,,,,,,,,,,
3 times: Upper/skills + 2 full,,,,,,,,,,,
 2 times: 2 full,,,,,,,,,,,
,,,,,,,,,,,
Weak points: Calves (all parts),,,,,,,,,,,
IT band,,,,,,,,,,,
Toes,,,,,,,,,,,
Top of foot,,,,,,,,,,,